huisnummer;postcode;woonplaats;lat;lon
6;8266JC;Kampen;52.5390159791121;5.93190315324062
205;8021AR;Zwolle;52.51555126136889;6.10756515376363
138;7415DD;Deventer;52.26896814756311;6.1634954230699
60;8261LP;Kampen;52.5428040411706;5.9277266147241
65;8031VV;Zwolle;52.52954858096721;6.09231231019769
82;7412NR;Deventer;52.270767249937805;6.13553370387169
3;7412BB;Deventer;52.258510368204405;6.149451255008779
34;8044PX;Zwolle;52.5422169554846;6.0347742487271905
35;8043AC;Zwolle;52.5344110741915;6.06593765300818
33;8262WE;Kampen;52.5612188975469;5.8997574844518
51;8043AW;Zwolle;52.5326057313191;6.06866880437592
9;7413RA;Deventer;52.2608586591813;6.15294439287009
5;8261GV;Kampen;52.55463121773911;5.91676134425946
10;8265GV;Kampen;52.553194557666906;5.89635467438213
137;8261CK;Kampen;52.5593432306392;5.91650829765075
173;8261CL;Kampen;52.560381315299395;5.91522730771287
21;8265TM;Kampen;52.53602477911839;5.91885780209949
101;7421HW;Deventer;52.2419021344044;6.2245380634949505
75;7414BK;Deventer;52.271774681476096;6.15128361701849
12;7412DZ;Deventer;52.2624005177819;6.143815718701191
32;8265SB;Kampen;52.540320203757496;5.9028668370660595
16;7421DA;Deventer;52.2433826452705;6.2093362177392395
143;8265KT;Kampen;52.5474947175905;5.89546857048095
5;8266JK;Kampen;52.5379183535997;5.9342844660006495
119;7411AH;Deventer;52.248473683681404;6.169115819044929
28;8261LC;Kampen;52.553235687603795;5.92132300422569
43;7412RR;Deventer;52.26549051579129;6.1342290131480395
3;7423DA;Deventer;52.2576912204979;6.20837540418826
41;7415RN;Deventer;52.2656449659686;6.16588536451791
313;7411ZJ;Deventer;52.248825567118;6.16217367262772
231;8043JL;Zwolle;52.5422210315063;6.064221166899039
37;8011GS;Zwolle;52.506422905666;6.093442934423599
235;7423BE;Deventer;52.251373654350004;6.21529441691592
196;8266BZ;Kampen;52.548705248221395;5.9239811304911605
2;8265ES;Kampen;52.554503185404904;5.902372106090209
14;7412JE;Deventer;52.25941417361749;6.140784693993889
2;8266CW;Kampen;52.54954769200479;5.92342220435524
123;8265RZ;Kampen;52.54226411628261;5.90683202618125
55;8031KB;Zwolle;52.527655274945005;6.083734019954309
1;7422NW;Deventer;52.2469041239549;6.2116691700347495
59;7415NC;Deventer;52.276933611783;6.1726842937759505
125;7412WR;Deventer;52.2622965382432;6.14215318296623
15;8262VH;Kampen;52.55960145764529;5.905062579513861
74;8021EZ;Zwolle;52.5154638118992;6.087771451062389
152;8031VR;Zwolle;52.5299999072646;6.08549606983976
2;8265DC;Kampen;52.5486475881071;5.905809318371579
6;7411MB;Deventer;52.2488344586819;6.16971567720963
51;8013SC;Zwolle;52.498518263981296;6.11219663265908
34;8021XS;Zwolle;52.5193111351281;6.09813967485213
7;8021BG;Zwolle;52.515312996316396;6.102066493891081
76;8023CC;Zwolle;52.512783058008296;6.11858704142838
51;8043XH;Zwolle;52.5244519368875;6.0587243264640405
43;8266AJ;Kampen;52.5494623902625;5.92415615011558
6;7413VN;Deventer;52.2602768236506;6.16496011233081
75;8265MH;Kampen;52.545049510585095;5.89716759769938
35;8265RR;Kampen;52.5430271183001;5.90451835871544
19;8014NN;Zwolle;52.494004174090904;6.109069543961151
191;8265KT;Kampen;52.5488740038691;5.8956693905975905
18;7415JA;Deventer;52.269478509253794;6.17489270007616
96;8032HP;Zwolle;52.5314201612941;6.101390269156309
16;8265DG;Kampen;52.5482929462936;5.905541839622999
10;7411NW;Deventer;52.253980420360406;6.15241096906093
32;8262VL;Kampen;52.558828281916895;5.90271996581441
2;8043VE;Zwolle;52.53035980811129;6.04893967481622
173;7415JV;Deventer;52.268465393004206;6.16490380618889
56;8014KD;Zwolle;52.484667642660504;6.127418573061969
37;7411RP;Deventer;52.2568200507965;6.15079203224276
31;8265RA;Kampen;52.543049572089394;5.912337132035559
3;8265XH;Kampen;52.545168227357394;5.9136144143334
253;8266GJ;Kampen;52.5444950668501;5.92357735629794
317;8012DN;Zwolle;52.5023976089535;6.10720866206974
11;7411PX;Deventer;52.2549397595251;6.15425655395047
29;7412CP;Deventer;52.270120093161296;6.141928426693981
104;8265HK;Kampen;52.5533825068573;5.891783075868241
12;8261HN;Kampen;52.5569672958248;5.9170395226455
23;7415KB;Deventer;52.268200041272;6.168336401850651
39;8043KL;Zwolle;52.5369092780817;6.0542989613449905
105;8011NZ;Zwolle;52.511959491617795;6.0959426693752095
31;8261GC;Kampen;52.553833546422304;5.9186544564748
91;8043HT;Zwolle;52.530224614455996;6.060699609801249
240;7415JE;Deventer;52.27140196753611;6.174425785937389
19;7425GW;Deventer;52.2594635160544;6.222217439577559
24;8262AD;Kampen;52.565069271636496;5.897125113088631
3;8021DL;Zwolle;52.5175831308593;6.092603991240799
28;7415ZL;Deventer;52.2725530801063;6.166552107657809
66;7414WH;Deventer;52.276063631329;6.138488494226731
17;7423GC;Deventer;52.2520258617156;6.20095969999051
36;8016BC;Zwolle;52.481388498180294;6.10523039139804
82;8043MZ;Zwolle;52.538316722981904;6.05091255217579
6;8266LV;Kampen;52.5334113838563;5.92846696830232
7;8042HS;Zwolle;52.5190175695582;6.04347327465805
91;8265HT;Kampen;52.552485276442795;5.8922825473284
6;8033AS;Zwolle;52.5353363757237;6.110800058126251
7;8265EX;Kampen;52.5528164448094;5.90083363656577
34;8016MN;Zwolle;52.474633805824794;6.10758222938534
45;8015BW;Zwolle;52.4753131980303;6.12277761833894
70;8266BV;Kampen;52.548939702820505;5.91759508153347
213;7423BB;Deventer;52.25289988726979;6.21294833482742
5;8011EV;Zwolle;52.5088134973022;6.09883357652959
225;8266GH;Kampen;52.5440727118266;5.92393533238418
146;8262GS;Kampen;52.5610989147513;5.8975471114434805
276;8021EZ;Zwolle;52.5163163870761;6.087588141850129
21;7415ZM;Deventer;52.2720532599399;6.166384611776019
57;8264DK;Kampen;52.5590062632425;5.893758408300211
72;8265JE;Kampen;52.5541719588402;5.889751424584969
3;8261HA;Kampen;52.55493230501121;5.91894191584525
71;8031EZ;Zwolle;52.52295444508571;6.0812889077531205
1;8032JC;Zwolle;52.5318420071191;6.10293144722287
4;8011NW;Zwolle;52.5116108541877;6.095489740126981
26;8043HX;Zwolle;52.5304499727591;6.05850408100433
126;8013AH;Zwolle;52.5035289391164;6.112682019979969
33;8265SG;Kampen;52.541776023810996;5.90189891274888
36;8261LC;Kampen;52.5534979714595;5.92105423123571
